Id,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,GarageCars,PoolArea,MiscVal,LotArea,SaleCondition,Alley,SalePrice
486,NridgHt,1Fam,2Story,6,5,1970,1209.0,1705,1,2,2.0,0.0,0.0,3979.0,Normal,,331231
883,OldTown,1Fam,2Story,8,8,1929,710.0,1637,1,4,2.0,0.0,0.0,6344.0,Normal,,348287
950,NorthAmes,Duplex,2Story,3,9,1931,604.0,1223,2,4,4.0,0.0,0.0,9151.0,Abnorml,,231993
611,Somerst,1Fam,2Story,9,6,1935,691.0,1282,2,2,2.0,0.0,0.0,11239.0,Normal,,330083
491,Sawyer,1Fam,1Story,9,2,1994,1185.0,1820,2,3,2.0,,0.0,8070.0,Normal,Pave,393429
354,Edwards,1Fam,1.5Fin,6,10,1935,524.0,1867,1,2,3.0,0.0,0.0,7480.0,Normal,,343097
262,Somerst,1Fam,1Story,5,8,1997,1126.0,1796,2,3,2.0,0.0,0.0,7865.0,Normal,,321256
60,Mitchel,TwnhsE,1Story,7,8,1914,406.0,1391,3,1,3.0,0.0,0.0,13197.0,Normal,,272130
1038,NorthAmes,1Fam,1Story,8,3,1936,1141.0,1867,2,4,3.0,0.0,0.0,3896.0,Normal,,375301
539,NorthAmes,1Fam,1Story,6,1,1996,1592.0,1489,2,3,1.0,0.0,0.0,13401.0,Normal,,319486
1174,CollgCr,1Fam,1Story,8,4,1961,1259.0,1284,3,2,3.0,0.0,0.0,,Normal,,332291
260,Somerst,Duplex,SFoyer,6,8,1924,1018.0,2025,1,3,1.0,0.0,0.0,11936.0,Partial,,342701
766,Gilbert,1Fam,1Story,4,5,1952,477.0,1977,2,4,1.0,0.0,0.0,5701.0,Normal,,261309
1496,CollgCr,TwnhsE,2Story,6,2,2017,1446.0,1530,1,3,2.0,0.0,0.0,22093.0,Normal,,335461
1099,OldTown,Duplex,1.5Fin,7,2,1991,1280.0,1980,2,4,4.0,0.0,0.0,12812.0,Normal,,389017
1188,Gilbert,1Fam,2Story,8,9,1931,959.0,885,2,2,1.0,0.0,0.0,7242.0,Normal,,283382
463,Sawyer,1Fam,2Story,8,8,1965,335.0,1708,1,5,1.0,0.0,0.0,5710.0,Normal,,339047
52,Edwards,1Fam,2Story,6,9,1944,794.0,1418,2,2,2.0,0.0,0.0,6683.0,Normal,,275437
472,NridgHt,1Fam,1Story,6,8,1995,1117.0,500,1,3,2.0,0.0,0.0,2563.0,Abnorml,,242402
345,Somerst,1Fam,2Story,7,9,1962,864.0,1563,3,5,1.0,0.0,0.0,6402.0,Normal,,287554
678,NridgHt,1Fam,2Story,6,3,1991,1635.0,1573,2,3,2.0,0.0,6558.0,19460.0,Normal,,310243
304,NridgHt,1Fam,1Story,6,7,1915,1065.0,894,1,2,2.0,0.0,0.0,10994.0,Normal,,221159
869,Sawyer,1Fam,1.5Fin,6,5,1953,1032.0,1053,1,2,1.0,0.0,0.0,11262.0,Normal,Pave,263757
24,CollgCr,1Fam,1Story,8,5,1900,779.0,1116,1,3,2.0,0.0,0.0,3974.0,Normal,,310981
590,Sawyer,1Fam,1.5Fin,4,4,1914,932.0,2080,1,4,2.0,0.0,0.0,5281.0,Abnorml,,296863
1409,NorthAmes,1Fam,SLvl,7,10,1996,889.0,1319,1,3,2.0,,0.0,6895.0,Abnorml,,328954
462,Gilbert,TwnhsE,SFoyer,9,1,1931,1184.0,1614,1,3,2.0,0.0,0.0,8247.0,Normal,,380588
859,Sawyer,TwnhsE,1Story,5,10,1986,1324.0,789,2,2,2.0,0.0,10152.0,6148.0,Alloca,,254065
765,Somerst,Duplex,1Story,4,1,2010,451.0,1772,2,3,1.0,0.0,0.0,14395.0,Normal,,290362
760,NorthAmes,1Fam,2Story,7,10,1959,1116.0,1579,1,2,2.0,0.0,0.0,11500.0,Normal,,332206
169,NridgHt,1Fam,2Story,5,2,1998,1022.0,1836,2,4,,0.0,0.0,7167.0,Normal,,326817
1479,NWAmes,1Fam,1Story,6,10,2016,681.0,1717,1,4,1.0,0.0,0.0,5199.0,Normal,,310802
561,NridgHt,Duplex,1.5Fin,7,6,1988,819.0,1840,0,5,1.0,0.0,0.0,9366.0,Normal,,329016
568,NWAmes,TwnhsE,SLvl,9,4,1972,870.0,1446,1,3,2.0,0.0,0.0,4894.0,Normal,,347465
1478,Mitchel,2fmCon,1.5Fin,6,10,1993,632.0,1161,2,6,2.0,0.0,0.0,9994.0,Normal,,251404
238,OldTown,1Fam,2Story,9,6,2005,425.0,1072,2,3,,0.0,0.0,8894.0,Normal,,330638
908,CollgCr,1Fam,SFoyer,10,9,1980,714.0,1831,2,3,2.0,0.0,0.0,11767.0,Normal,Grvl,385961
1117,Sawyer,1Fam,2Story,8,4,1903,1236.0,1206,1,3,3.0,0.0,0.0,26949.0,Alloca,,322186
421,CollgCr,1Fam,SLvl,8,6,1969,1308.0,708,2,1,2.0,0.0,0.0,22705.0,Abnorml,,296428
1329,OldTown,1Fam,1Story,6,1,1906,1357.0,1880,2,2,2.0,0.0,0.0,4425.0,Normal,,354644
100,OldTown,1Fam,SLvl,10,6,1962,686.0,1208,2,3,,0.0,0.0,7206.0,Normal,,332736
1062,CollgCr,1Fam,2Story,3,7,1984,726.0,1534,2,3,1.0,,0.0,1950.0,AdjLand,,226813
825,Somerst,2fmCon,2Story,10,7,1967,177.0,1497,2,3,0.0,0.0,0.0,6485.0,Normal,,351849
416,Somerst,1Fam,2Story,7,3,1972,,1282,2,3,2.0,0.0,0.0,5573.0,Normal,,310775
68,NorthAmes,1Fam,1Story,8,6,1934,854.0,1706,2,3,1.0,0.0,0.0,13383.0,Normal,,328247
1106,Sawyer,1Fam,SLvl,5,9,1937,771.0,1426,2,4,3.0,0.0,,4817.0,Abnorml,,252563
248,Edwards,1Fam,1Story,4,8,2022,885.0,1700,1,4,1.0,0.0,0.0,5844.0,Normal,,307252
1177,Somerst,1Fam,2Story,9,8,1977,865.0,1639,2,1,2.0,0.0,0.0,3475.0,Normal,,361070
789,Somerst,1Fam,2Story,7,9,1950,1747.0,1260,2,4,2.0,,0.0,7823.0,Normal,,334983
1353,Mitchel,1Fam,2Story,3,4,1991,2030.0,1058,3,2,2.0,0.0,0.0,10622.0,Partial,,263031
839,NWAmes,TwnhsE,1.5Fin,6,4,1979,312.0,1502,2,2,2.0,0.0,0.0,13255.0,Normal,,260652
555,NorthAmes,1Fam,1Story,4,10,1926,1539.0,961,2,3,2.0,0.0,0.0,9593.0,Normal,,189777
810,Somerst,1Fam,1Story,10,9,1941,603.0,1855,2,4,2.0,0.0,0.0,5180.0,Normal,,382009
124,CollgCr,2fmCon,2Story,3,6,1931,1080.0,1232,1,3,2.0,0.0,0.0,4020.0,Normal,Grvl,223588
1133,OldTown,1Fam,2Story,4,8,2020,657.0,1578,2,5,2.0,,,18157.0,Normal,,284313
1384,NWAmes,1Fam,2Story,9,9,2008,1232.0,1683,2,3,2.0,0.0,0.0,5985.0,Family,,380938
423,Somerst,1Fam,1Story,6,9,2010,1115.0,1070,2,4,2.0,371.0,0.0,7154.0,Normal,,277264
1064,Somerst,2fmCon,1Story,8,10,2022,855.0,1602,1,3,1.0,0.0,0.0,3395.0,Normal,,341884
1122,Sawyer,TwnhsE,2Story,5,7,1907,507.0,1815,2,3,3.0,0.0,0.0,14669.0,Normal,Pave,283901
1027,CollgCr,1Fam,1Story,2,8,2002,1247.0,1668,2,4,2.0,685.0,0.0,8258.0,Normal,,258024
1449,Mitchel,1Fam,SLvl,9,9,1980,885.0,1425,2,4,,0.0,0.0,15050.0,Normal,,338851
985,NorthAmes,1Fam,1Story,5,6,1970,1174.0,1280,2,4,2.0,0.0,0.0,8088.0,Normal,,256458
1260,CollgCr,1Fam,2Story,6,1,1959,1097.0,1749,2,3,2.0,0.0,,7880.0,Abnorml,,328133
240,NorthAmes,1Fam,SLvl,8,10,1908,581.0,2184,2,3,2.0,0.0,0.0,12409.0,Normal,,352074
368,NridgHt,1Fam,2Story,9,6,1951,1026.0,1950,1,2,2.0,0.0,0.0,8154.0,Normal,,384257
482,Edwards,TwnhsE,SFoyer,6,2,1910,1043.0,948,2,3,4.0,0.0,0.0,,Normal,,233459
206,NWAmes,2fmCon,2Story,5,8,1905,1683.0,1403,2,3,,0.0,0.0,5069.0,Normal,,273064
1400,Mitchel,1Fam,1Story,4,1,1982,1213.0,1614,1,4,,0.0,0.0,5834.0,Abnorml,,269861
259,NWAmes,1Fam,1Story,6,7,1929,779.0,2144,1,3,1.0,662.0,0.0,10116.0,Normal,,320265
991,NWAmes,1Fam,1Story,8,7,2008,979.0,1494,2,5,1.0,0.0,0.0,8992.0,Partial,,333339
1324,NWAmes,1Fam,1.5Fin,7,8,2014,,937,1,3,2.0,0.0,0.0,10334.0,Normal,,311230
30,CollgCr,TwnhsE,2Story,5,4,1941,445.0,1052,1,3,1.0,0.0,0.0,7003.0,Family,,215203
1030,OldTown,TwnhsE,SFoyer,9,10,1953,1473.0,1047,1,3,2.0,0.0,0.0,4859.0,Partial,,351790
343,CollgCr,1Fam,1Story,10,3,1942,1431.0,1280,1,3,4.0,0.0,0.0,9158.0,Normal,,399263
847,OldTown,1Fam,1Story,6,1,2017,,1308,2,3,2.0,0.0,,9363.0,Normal,,305465
417,OldTown,1Fam,1Story,3,1,2002,684.0,1184,2,2,4.0,0.0,0.0,17598.0,Normal,,246940
66,OldTown,TwnhsE,2Story,4,8,2016,875.0,1387,2,5,3.0,0.0,0.0,15964.0,Partial,,279723
359,NorthAmes,1Fam,1Story,9,10,1975,1241.0,1615,2,4,2.0,0.0,0.0,9521.0,AdjLand,,366935
1233,Sawyer,1Fam,1Story,4,2,1974,1828.0,1725,1,2,4.0,0.0,0.0,7753.0,Alloca,,345632
1259,CollgCr,1Fam,1Story,9,9,1991,,1047,1,3,0.0,0.0,0.0,5695.0,Normal,Grvl,299265
1036,Somerst,Twnhs,1Story,5,7,2007,1256.0,1381,2,5,1.0,0.0,0.0,17800.0,Normal,,288683
1175,CollgCr,TwnhsE,1Story,4,6,1912,,1096,1,3,2.0,0.0,0.0,5558.0,Partial,,210790
142,Mitchel,1Fam,1Story,9,6,1944,879.0,2064,1,3,1.0,0.0,0.0,15577.0,Normal,,363956
800,Somerst,1Fam,SLvl,6,2,1937,1113.0,898,2,1,1.0,0.0,0.0,8224.0,Normal,,224211
951,Gilbert,Twnhs,2Story,6,9,1977,976.0,1133,1,4,2.0,0.0,0.0,7182.0,Family,,290316
515,Gilbert,Duplex,2Story,8,10,2008,1335.0,1831,2,2,2.0,0.0,0.0,6073.0,Normal,,384991
725,CollgCr,1Fam,1Story,8,7,1952,223.0,1240,1,3,2.0,603.0,0.0,8825.0,Normal,,281813
276,Somerst,TwnhsE,1Story,6,6,1940,1105.0,971,2,4,2.0,0.0,0.0,10209.0,Normal,,283037
1275,Gilbert,Duplex,1Story,8,5,1937,1369.0,1303,2,2,2.0,0.0,0.0,14861.0,Normal,,310220
1108,NorthAmes,1Fam,1Story,8,4,1992,263.0,617,2,3,3.0,0.0,0.0,4785.0,Normal,,257657
514,CollgCr,1Fam,1Story,3,9,1974,682.0,1124,2,3,2.0,0.0,0.0,5147.0,Normal,,206829
627,Somerst,1Fam,2Story,10,10,1937,979.0,1027,2,3,2.0,0.0,0.0,4940.0,Abnorml,,316295
1139,Somerst,1Fam,2Story,5,10,1940,1613.0,1086,2,3,2.0,0.0,0.0,10923.0,Normal,,246414
1044,Gilbert,1Fam,1.5Fin,9,10,2021,431.0,1376,2,4,1.0,0.0,0.0,7948.0,Normal,,322244
926,NWAmes,1Fam,1.5Fin,6,7,1933,836.0,1705,2,3,3.0,0.0,0.0,3783.0,Normal,Grvl,314456
1007,OldTown,1Fam,1Story,6,8,1973,561.0,2679,1,3,2.0,0.0,0.0,12677.0,Normal,,364315
45,Mitchel,1Fam,1Story,4,4,1989,1872.0,1259,2,4,,0.0,0.0,3868.0,Normal,,263074
1277,Somerst,1Fam,2Story,6,1,1986,1251.0,1397,2,2,1.0,0.0,0.0,25839.0,Normal,,297697
271,NWAmes,1Fam,2Story,8,3,2020,407.0,1517,0,3,2.0,,0.0,16657.0,Normal,,343528
406,NWAmes,1Fam,1Story,8,9,1942,955.0,1679,1,3,0.0,0.0,0.0,11063.0,Normal,,314581
1090,CollgCr,1Fam,2Story,8,7,2021,927.0,1474,3,3,2.0,0.0,0.0,7345.0,Normal,,331459
116,Edwards,1Fam,2Story,7,4,1923,,2777,2,3,3.0,0.0,0.0,,Normal,,402536
1058,OldTown,Twnhs,1Story,3,5,1941,1428.0,1501,1,3,2.0,0.0,0.0,14564.0,Normal,,258683
1001,CollgCr,1Fam,1Story,9,8,1994,1546.0,1728,2,2,2.0,0.0,0.0,16312.0,Normal,,384940
793,Sawyer,1Fam,1Story,6,6,1954,,1534,2,3,2.0,0.0,0.0,9281.0,Normal,,311953
528,OldTown,1Fam,1.5Fin,4,9,1953,909.0,1995,3,3,1.0,0.0,0.0,8300.0,Partial,,267257
433,OldTown,2fmCon,2Story,4,7,1919,1153.0,1313,1,4,1.0,0.0,0.0,7081.0,Normal,,229641
894,Edwards,1Fam,2Story,5,4,2022,1233.0,1239,2,5,2.0,0.0,0.0,14539.0,Normal,,268987
1197,CollgCr,TwnhsE,2Story,2,6,1945,1481.0,1932,0,4,2.0,0.0,0.0,8023.0,Normal,,242915
79,NridgHt,1Fam,SFoyer,8,2,1946,1026.0,1206,2,3,2.0,0.0,0.0,8483.0,Normal,,317945
1234,Gilbert,TwnhsE,2Story,10,3,1918,867.0,1148,3,4,2.0,0.0,0.0,29432.0,Normal,,332739
889,OldTown,1Fam,1Story,8,5,2019,1383.0,1856,1,4,3.0,0.0,0.0,10887.0,Normal,,407074
937,NridgHt,1Fam,2Story,4,3,1949,1374.0,1447,1,4,2.0,0.0,0.0,4862.0,Normal,,278724
1081,NorthAmes,1Fam,2Story,10,4,1986,1683.0,1648,2,3,2.0,136.0,5879.0,6806.0,Normal,,408458
630,Gilbert,1Fam,1Story,6,8,1995,1065.0,1787,1,4,,0.0,0.0,14003.0,Normal,,320943
1043,NridgHt,1Fam,1Story,4,9,1994,1717.0,1413,1,4,3.0,0.0,0.0,13895.0,Normal,Grvl,274704
16,NorthAmes,1Fam,2Story,5,6,1988,1181.0,1451,2,3,2.0,0.0,0.0,6117.0,Normal,,287410
1118,OldTown,1Fam,2Story,5,9,1950,399.0,1532,2,3,2.0,0.0,0.0,7872.0,Normal,,265711
1028,Edwards,1Fam,1.5Fin,7,9,2016,1271.0,1742,2,3,1.0,0.0,0.0,8604.0,Normal,Pave,345755
176,CollgCr,1Fam,2Story,6,4,2016,695.0,1371,2,4,0.0,0.0,0.0,12253.0,Normal,,292346
987,NWAmes,1Fam,1.5Fin,9,3,1957,1068.0,1345,1,4,1.0,0.0,0.0,17183.0,Normal,,309510
1312,NorthAmes,TwnhsE,1.5Fin,6,4,1986,994.0,1245,2,6,2.0,,0.0,12196.0,Normal,,291231
866,Mitchel,1Fam,1Story,10,10,1956,702.0,2113,2,2,0.0,0.0,0.0,6675.0,Normal,,398627
507,Somerst,1Fam,1Story,5,10,2007,1246.0,1500,2,3,2.0,0.0,0.0,6025.0,Normal,,291310
941,NorthAmes,1Fam,1.5Fin,4,7,1907,1612.0,2199,2,5,2.0,0.0,0.0,4272.0,Abnorml,,292901
366,Sawyer,2fmCon,1Story,6,8,1970,942.0,835,0,3,0.0,0.0,14272.0,6630.0,Normal,,236196
549,OldTown,1Fam,SFoyer,7,6,2008,881.0,1368,1,4,3.0,0.0,0.0,9755.0,Normal,,319502
204,Somerst,1Fam,1Story,5,8,1973,893.0,1943,1,4,2.0,0.0,0.0,13723.0,Normal,,343300
781,CollgCr,1Fam,2Story,8,7,1976,1722.0,809,2,3,3.0,0.0,0.0,8856.0,Abnorml,,321839
1221,Somerst,TwnhsE,SLvl,10,10,2018,1621.0,2281,2,3,2.0,0.0,0.0,4474.0,Partial,,451610
1297,Mitchel,1Fam,2Story,6,3,2004,1502.0,1729,2,2,1.0,0.0,0.0,12829.0,Normal,,340473
1262,CollgCr,1Fam,1Story,7,5,1932,651.0,1178,2,5,,0.0,0.0,8416.0,Normal,,275371
809,CollgCr,1Fam,2Story,6,9,2012,1341.0,1713,1,4,2.0,0.0,0.0,15182.0,Normal,,327589
911,Mitchel,1Fam,2Story,7,8,1940,778.0,1827,2,3,1.0,0.0,0.0,6947.0,Partial,,316738
1388,NridgHt,TwnhsE,1.5Fin,9,6,1999,1267.0,2055,1,4,2.0,0.0,0.0,17690.0,Normal,,388011
185,OldTown,Duplex,2Story,8,8,1993,,1028,2,4,1.0,0.0,0.0,7246.0,Normal,,310132
1465,CollgCr,1Fam,1Story,6,3,1903,1031.0,1989,2,3,2.0,,0.0,6061.0,Partial,,321394
480,Edwards,1Fam,1Story,5,3,1987,1348.0,1662,2,4,1.0,0.0,0.0,14182.0,Normal,,316021
57,NWAmes,1Fam,1Story,4,4,2010,500.0,1865,2,2,0.0,0.0,0.0,5326.0,Normal,,267527
1146,NWAmes,TwnhsE,2Story,4,3,1909,984.0,1186,2,2,2.0,0.0,14417.0,8166.0,Normal,Grvl,226765
487,NorthAmes,1Fam,1Story,8,6,1925,577.0,1790,2,3,1.0,0.0,0.0,5864.0,Normal,,339715
384,Somerst,1Fam,1Story,5,7,1954,1393.0,1263,2,3,2.0,0.0,0.0,6229.0,Normal,,279633
44,NWAmes,1Fam,1Story,8,6,2017,1139.0,1317,2,3,1.0,0.0,0.0,6970.0,Normal,,358835
533,Mitchel,1Fam,2Story,10,4,1924,1542.0,1690,1,4,3.0,0.0,0.0,7839.0,Abnorml,,376768
756,Mitchel,2fmCon,1Story,5,4,1944,761.0,1645,2,3,3.0,0.0,4567.0,30217.0,AdjLand,,280941
1183,NWAmes,1Fam,1Story,8,3,1956,1095.0,1368,2,2,2.0,0.0,0.0,12825.0,Normal,,305371
597,Sawyer,2fmCon,2Story,6,3,1920,1055.0,1768,2,1,1.0,0.0,0.0,7080.0,Alloca,Grvl,304082
102,Sawyer,1Fam,1Story,7,3,2010,1467.0,2049,1,5,2.0,0.0,0.0,6566.0,Normal,,398659
552,CollgCr,1Fam,1Story,8,6,1983,719.0,1153,0,1,2.0,0.0,0.0,7496.0,Normal,,299866
579,Edwards,TwnhsE,1Story,5,10,1950,,1444,2,3,2.0,0.0,0.0,3868.0,Normal,,271313
108,Edwards,1Fam,2Story,6,9,1919,883.0,2149,2,3,3.0,375.0,0.0,8842.0,Normal,,365932
1290,OldTown,TwnhsE,1.5Fin,5,2,2018,1027.0,1572,2,4,2.0,0.0,0.0,2761.0,Normal,,316703
1069,Gilbert,Duplex,2Story,2,7,1927,1004.0,1843,2,3,3.0,0.0,0.0,6413.0,Normal,,248307
221,Edwards,1Fam,1Story,4,4,1940,895.0,1705,3,3,2.0,0.0,0.0,25779.0,Normal,,264486
944,Gilbert,TwnhsE,1Story,7,7,1935,779.0,1775,1,5,3.0,0.0,0.0,7711.0,Alloca,,331218
452,OldTown,TwnhsE,1Story,4,3,1993,836.0,2004,2,3,3.0,0.0,0.0,13063.0,Normal,,312518
1497,Gilbert,1Fam,1Story,5,10,1955,966.0,1603,1,3,0.0,0.0,0.0,22714.0,Partial,,276419
887,Edwards,1Fam,1Story,5,2,1978,995.0,1407,2,3,2.0,0.0,0.0,10850.0,Normal,Grvl,278267
723,NWAmes,1Fam,1Story,8,4,1964,,1797,0,4,1.0,0.0,0.0,4129.0,Normal,,360015
129,Mitchel,2fmCon,SLvl,8,8,1913,1818.0,1527,1,4,2.0,0.0,0.0,8517.0,Normal,,369902
333,OldTown,1Fam,1Story,9,2,1971,935.0,1881,1,3,0.0,0.0,0.0,8416.0,Normal,,350058
298,Sawyer,Twnhs,1.5Fin,7,9,2020,1029.0,1181,2,3,0.0,0.0,0.0,9448.0,Normal,,290440
1462,Gilbert,TwnhsE,1Story,9,7,1901,1220.0,1256,1,2,2.0,745.0,0.0,4393.0,Normal,,315154
705,NridgHt,1Fam,2Story,4,1,1983,1250.0,1117,1,2,2.0,0.0,0.0,3720.0,Normal,,226367
679,CollgCr,2fmCon,2Story,3,9,1982,555.0,2309,2,1,3.0,0.0,0.0,12936.0,Normal,,308007
245,NridgHt,1Fam,2Story,6,1,1996,969.0,1129,2,4,2.0,,0.0,4446.0,Normal,,307374
1335,Mitchel,2fmCon,1Story,7,6,1990,1078.0,1402,3,5,2.0,0.0,0.0,8728.0,Normal,,333006
662,Sawyer,1Fam,1.5Fin,6,3,1997,985.0,1598,1,5,3.0,0.0,0.0,6164.0,Normal,,324908
845,NorthAmes,Duplex,1Story,10,3,1956,696.0,638,2,3,2.0,0.0,0.0,8806.0,Normal,,282142
707,OldTown,1Fam,1Story,6,2,1986,1005.0,2093,2,3,2.0,0.0,0.0,4271.0,Family,,351061
1168,NWAmes,Twnhs,2Story,7,5,1905,1166.0,1006,2,3,0.0,0.0,0.0,10742.0,Normal,,262357
232,OldTown,1Fam,2Story,8,6,1921,769.0,1360,1,3,3.0,0.0,0.0,9029.0,Normal,,318976
33,Gilbert,1Fam,1Story,6,3,1980,979.0,1629,2,3,4.0,0.0,0.0,,Normal,,334340
1198,Edwards,1Fam,2Story,6,10,2020,1125.0,975,1,4,3.0,0.0,0.0,10681.0,Normal,,302833
495,Edwards,Duplex,1Story,6,9,1991,1045.0,1640,2,4,1.0,,0.0,17353.0,Abnorml,,299127
599,Gilbert,2fmCon,2Story,9,1,2009,787.0,878,2,2,2.0,0.0,0.0,6488.0,Normal,,317025
1289,Mitchel,TwnhsE,2Story,8,3,1954,1305.0,1317,1,3,2.0,0.0,0.0,4667.0,Normal,,343137
1182,NridgHt,1Fam,1Story,5,3,1962,858.0,1379,2,3,2.0,315.0,0.0,16252.0,Normal,,255653
351,NWAmes,1Fam,1Story,8,6,1968,1487.0,1241,2,3,,0.0,0.0,9465.0,Normal,,312028
990,CollgCr,1Fam,2Story,8,1,1989,972.0,732,2,5,2.0,,0.0,8212.0,Normal,Grvl,279685
1152,OldTown,1Fam,SFoyer,9,3,2012,1458.0,2107,1,3,2.0,0.0,0.0,2760.0,Normal,,423784
965,Edwards,1Fam,1Story,9,8,1938,1454.0,1847,2,3,2.0,0.0,0.0,7747.0,Normal,,376127
1311,OldTown,1Fam,1Story,8,1,1917,1302.0,1453,3,3,,0.0,0.0,8002.0,Normal,,315828
412,Sawyer,1Fam,SLvl,8,8,1951,1264.0,2392,2,4,2.0,0.0,0.0,4617.0,Normal,,415191
164,NWAmes,TwnhsE,2Story,4,7,2014,983.0,1256,2,4,1.0,0.0,0.0,,Partial,,260655
904,Gilbert,1Fam,2Story,5,9,1988,984.0,1391,2,3,2.0,,,15355.0,Normal,,257521
